code,codetype,descrip
E11.21,DX10,Type 2 diabetes mellitus with diabetic nephropathy
E11.22,DX10,Type 2 diabetes mellitus with diabetic chronic kidney disease
E11.40,DX10,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
E11.42,DX10,Type 2 diabetes mellitus with diabetic polyneuropathy
E11.49,DX10,Type 2 diabetes mellitus with other diabetic neurological complication
E11.65,DX10,Type 2 diabetes mellitus with hyperglycemia
E11.9,DX10,Type 2 diabetes mellitus without complications
E11.319,DX10,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
E11.620,DX10,Type 2 diabetes mellitus with diabetic dermatitis
E11.641,DX10,Type 2 diabetes mellitus with hypoglycemia with coma
250,DX09,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
250.1,DX09,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
250.12,DX09,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
250.2,DX09,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled"
250.22,DX09,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
250.3,DX09,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolle"
250.32,DX09,"Diabetes with other coma, type II or unspecified type, uncontrolled"
250.4,DX09,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
250.42,DX09,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
250.5,DX09,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
250.52,DX09,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
250.6,DX09,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolle"
250.62,DX09,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
250.7,DX09,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
250.72,DX09,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
250.8,DX09,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
250.82,DX09,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
250.9,DX09,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled"
250.92,DX09,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"